Giá nhà,Địa chỉ,Diện tích,Số phòng ngủ,Tổng số tầng,Loại hình nhà ở,Giấy tờ pháp lý,url
"5,7 tỷ","Nguyen Duy Trinh, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",57 m²,4 phòng,3,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110750649.htm#px=SR-stickyad-[PO-1][PL-top]
"6,4 tỷ","Phạm Văn Chiêu, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",70 m²,4 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110830542.htm
"3,98 tỷ","Tỉnh lộ 10, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",49.3 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110830532.htm
"4,2 tỷ","Duong So 7 TM-TX, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh",63 m²,4 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/109838641.htm
670 triệu,"Đường Bộ Đội An Điền, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m²,2 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/104606063.htm
"14,8 tỷ","Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",678 m²,6 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110751244.htm
"16,8 tỷ","Thoại Ngọc Hầu, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",155 m²,6 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/105539236.htm
3 tỷ,"Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh",30 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/110830503.htm
"10,5 tỷ","Phùng Tá Chu, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",78 m²,5 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110565282.htm
"16,5 tỷ","Đường Tăng Nhơn Phú, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",260 m²,nhiều hơn 10 phòng,5,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110830878.htm
"6,2 tỷ","Phan Huy Ích, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",54 m²,4 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110830868.htm
"3,549 tỷ","Lê Văn Qưới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",80 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110830846.htm
"5,5 tỷ","Nguyên Hồng, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",53 m²,5 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110830853.htm
"1,75 tỷ","Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",18 m²,2 phòng,1,,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110240512.htm#px=SR-stickyad-[PO-2][PL-top]
"4,9 tỷ","797, Xã An Phú, Huyện Củ Chi, Tp Hồ Chí Minh",600 m²,3 phòng,,Nhà biệt thự,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-cu-chi-tp-ho-chi-minh/110630190.htm#px=SR-special_display_ad-[PO-9][PL-default]
"4,29 tỷ","Quốc lộ 1, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",121 m²,4 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110830809.htm
"7,5 tỷ","Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",47.56 m²,4 phòng,4,Nhà phố liền kề,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/109135715.htm
"3,2 tỷ","Phạm Hữu Lầu, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",49.1 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-nha-be-tp-ho-chi-minh/109966486.htm#px=SR-special_display_ad-[PO-6][PL-default]
"4,999 tỷ","Nguyễn Thị Kiểu, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",50 m²,4 phòng,4,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110830804.htm
7 tỷ,"Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",75 m²,6 phòng,4,Nhà phố liền kề,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110830778.htm#px=SR-special_display_ad-[PO-13][PL-default]
"6,7 tỷ","Hoàng Hoa Thám, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh",93 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/109772853.htm
"5,39 tỷ","Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh",53 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110628787.htm
1 tỷ,"551/221/2/10, Lê Văn Khương, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",20 m²,2 phòng,2,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110830775.htm
"7,7 tỷ","Lô Tư, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",70 m²,4 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110830730.htm#px=SR-special_display_ad-[PO-18][PL-default]
"48,99 tỷ","Ðiện Biên Phủ, Phường 1, Quận 3, Tp Hồ Chí Minh",112 m²,4 phòng,4,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/109584022.htm
"6,9 tỷ","Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",65 m²,4 phòng,4,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110830720.htm
2 tỷ,"Lý Thường Kiệt, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",22 m²,2 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/110830499.htm
"6,5 tỷ","Hàn Hải Nguyên, Phường 3, Quận 11, Tp Hồ Chí Minh",65 m²,4 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-11-tp-ho-chi-minh/110091148.htm
11 tỷ,"Nguyễn Thiện Thuật, Phường 2, Quận 3, Tp Hồ Chí Minh",44 m²,5 phòng,5,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/106423173.htm
"6,8 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",56 m²,4 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110545400.htm#px=SR-special_display_ad-[PO-20][PL-default]
"5,7 tỷ","Đường Số 4, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",96 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110830452.htm
"6,7 tỷ","Hẻm 190 Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",60 m²,4 phòng,5,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110755442.htm#px=SR-special_display_ad-[PO-5][PL-default]
"5,6 tỷ","Thới An 21, Phường Thới An, Quận 12, Tp Hồ Chí Minh",57 m²,4 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110736080.htm
"1,65 tỷ","Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",100 m²,4 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110684914.htm
"5,6 tỷ","Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",50 m²,4 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-nha-be-tp-ho-chi-minh/110545672.htm#px=SR-special_display_ad-[PO-8][PL-default]
"3,5 tỷ","Lương Ngọc Quyến, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",50 m²,4 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110830420.htm
10 tỷ,"659 Âu Cơ, phường Tân Thành, quận Tân Phú, Tp. HCM., Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",384.26 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110830389.htm
"2,04 tỷ","Đường Tân Thới Hiệp 09, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",19 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110830352.htm
"2,58 tỷ","72/2/15 Thới An 10, Phường Thới An, Quận 12, Tp Hồ Chí Minh",30 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110830365.htm
"3,7 tỷ","Đường 14, Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",43 m²,4 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/82269443.htm
"3,75 tỷ","Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",40 m²,2 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110830321.htm
"1,35 tỷ","Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",25 m²,2 phòng,,"Nhà ngõ, hẻm",Giấy tờ khác,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110668892.htm
"17,5 tỷ","Cách Mạng Tháng Tám, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",102 m²,2 phòng,4,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/109998656.htm
"5,3 tỷ","Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",60 m²,4 phòng,5,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/109626283.htm
"6,19 tỷ","Hiệp Thành 31, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",88 m²,5 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110694272.htm
"4,1 tỷ","Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",51 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/109631106.htm
"6,36 tỷ","1163/, Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh",54 m²,4 phòng,,Nhà phố liền kề,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110830296.htm
"4,4 tỷ","undefined, Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",96.24 m²,5 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110766298.htm#px=SR-stickyad-[PO-1][PL-top]
"5,6 tỷ","Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",60 m²,5 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110687525.htm#px=SR-stickyad-[PO-4][PL-top]
"9,9 tỷ","Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",426 m²,nhiều hơn 10 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110814433.htm#px=SR-stickyad-[PO-2][PL-top]
"1,12 tỷ","Bông Sao, Phường 5, Quận 8, Tp Hồ Chí Minh",28 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/110816618.htm#px=SR-stickyad-[PO-5][PL-top]
"5,15 tỷ","Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",68 m²,5 phòng,5,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110102493.htm#px=SR-stickyad-[PO-3][PL-top]
"4,85 tỷ","Ụ Cây, Phường 10, Quận 8, Tp Hồ Chí Minh",51.9 m²,2 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/106360677.htm
"5,03 tỷ","Đường Trần Ðình Xu, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh",51.1 m²,4 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-1-tp-ho-chi-minh/110220957.htm
"2,999 tỷ","Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",46 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110831026.htm
"2,97 tỷ","Đỗ Tấn Phong, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",61 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-phu-nhuan-tp-ho-chi-minh/109180632.htm
"6,2 tỷ","Đường số 8, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",30 m²,2 phòng,4,"Nhà mặt phố, mặt tiền",Đang chờ sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110831014.htm
"4,1 tỷ","Đường số 16, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",47 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110603430.htm
"2,9 tỷ","Đường Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",23 m²,3 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110720461.htm
"2,97 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",35 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110830973.htm#px=SR-special_display_ad-[PO-8][PL-default]
"7,2 tỷ","Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",80 m²,4 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-nha-be-tp-ho-chi-minh/110603374.htm#px=SR-special_display_ad-[PO-9][PL-default]
"2,34 tỷ","Nguyễn Khoái, Phường 2, Quận 4, Tp Hồ Chí Minh",47.73 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-4-tp-ho-chi-minh/110480689.htm
"4,6 tỷ","Hương Lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh, 30000, Việt Nam, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",60 m²,4 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110830957.htm
"2,23 tỷ","Hẻm 630 Thống Nhất, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",45.48 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110383656.htm
"5,8 tỷ","Ni Sư Huỳnh Liên, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",50 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/110830938.htm
"10,9 tỷ","Trường Chinh, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",79 m²,4 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/110830956.htm#px=SR-special_display_ad-[PO-13][PL-default]
"9,3 tỷ","Nguyễn Lâm, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh",57.3 m²,5 phòng,5,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110830940.htm
"18,5 tỷ","Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",185 m²,7 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110830936.htm#px=SR-special_display_ad-[PO-16][PL-default]
570 triệu,"Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",64 m²,2 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/110395621.htm
"2,23 tỷ","Tôn Đản, Phường 8, Quận 4, Tp Hồ Chí Minh",49.5 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-4-tp-ho-chi-minh/110573947.htm
"1,45 tỷ","Đường Trần Thị Non, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh",80 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110802522.htm
"1,99 tỷ","Ụ Ghe, Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",45 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110463930.htm
"4,65 tỷ","Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",73 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/109776836.htm
"4,55 tỷ","Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",40 m²,4 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110732258.htm
"6,1 tỷ","Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",62 m²,4 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110589715.htm
"16,5 tỷ","Nguyễn Duy Trinh, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",101 m²,2 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110830286.htm
"6,4 tỷ","Đường Trịnh Đình Trọng, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",63 m²,3 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110259874.htm
